id                        n_cores  n_files  start_epoch  end_epoch   duration_s
big_gpu_12                12       296      1443112054   1443114408  2354
big_gpu_18                18       296      1443109695   1443112053  2358
big_gpu_24                24       296      1443109695   1443112070  2375
big_gpu_30                30       296      1443107333   1443109694  2361
big_gpu_36                36       296      1443104974   1443107331  2357
big_gpu_42                42       296      1443099124   1443101489  2365
spark_gpu_12_1of2_282404  12       296      1443095051   1443096835  1784
spark_gpu_12_2of2_282405  12       296      1443095658   1443096276  618
spark_gpu_18_1of2_282402  18       296      1443095031   1443096232  1201
spark_gpu_18_2of2_282403  18       296      1443095031   1443095653  622
spark_gpu_24_1of2_282400  24       296      1443094414   1443095031  617
spark_gpu_24_2of2_282401  24       296      1443094414   1443095029  615
spark_gpu_30_1of2_282398  30       296      1443093129   1443093746  617
spark_gpu_30_2of2_282399  30       296      1443093751   1443094414  663
spark_gpu_36_1of2_282396  36       296      1443091883   1443092502  619
spark_gpu_36_2of2_282397  36       296      1443092507   1443093125  618
spark_gpu_42_1of2_282394  42       296      1443090646   1443091264  618
spark_gpu_42_2of2_282395  42       296      1443091264   1443091882  618
